Timestamp,Sample_Index,LoadCell1_Berat_kg,LoadCell1_Gaya_N,LoadCell2_Berat_kg,LoadCell2_Gaya_N,Termokopel1_Suhu_C,Termokopel1_Fahrenheit_F,Termokopel2_Suhu_C,Termokopel2_Fahrenheit_F
2026-08-29 05:53:07.208,22,4.360,42.80,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:07.731,23,4.390,43.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:08.253,24,4.400,43.20,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:08.775,25,4.520,44.30,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:09.296,26,4.740,46.50,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:09.818,27,5.130,50.30,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:10.342,28,5.630,55.20,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:10.863,29,6.370,62.50,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:11.385,30,6.760,66.30,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:11.906,31,6.970,68.40,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:12.429,32,6.040,59.20,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:12.952,33,3.470,34.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:13.475,34,1.350,13.30,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:13.997,35,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:14.518,36,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:15.039,37,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:15.563,38,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:16.085,39,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:16.607,40,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:17.129,41,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:17.651,42,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:18.174,43,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:18.696,44,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:19.218,45,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:19.739,46,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:20.261,47,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:20.784,48,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:21.307,49,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:21.829,50,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:22.351,51,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:22.873,52,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:23.396,53,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:23.918,54,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:24.441,55,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:24.962,56,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:25.484,57,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:26.007,58,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:26.528,59,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:27.051,60,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:27.573,61,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:28.094,62,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:28.618,63,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:29.140,64,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:29.662,65,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:30.184,66,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:30.706,67,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:31.229,68,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:31.751,69,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:32.274,70,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:32.795,71,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:33.317,72,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:33.840,73,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:34.362,74,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:34.884,75,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:35.406,76,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:35.928,77,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:36.450,78,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:36.974,79,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:37.495,80,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:38.017,81,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:38.539,82,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:39.061,83,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:39.585,84,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:40.107,85,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:40.628,86,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:41.151,87,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:41.673,88,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:42.195,89,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:42.717,90,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:43.239,91,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:43.761,92,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:44.284,93,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:44.806,94,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:45.328,95,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:45.850,96,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:46.372,97,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:46.894,98,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:47.418,99,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:47.940,100,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:48.463,101,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:48.983,102,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:49.507,103,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:50.028,104,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:50.550,105,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:51.072,106,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:51.594,107,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:52.117,108,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:52.640,109,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:53.161,110,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:53.683,111,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:54.206,112,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:54.728,113,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:55.251,114,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:55.773,115,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:56.295,116,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:56.817,117,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:57.340,118,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:57.862,119,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:58.383,120,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:58.905,121,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:59.427,122,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:59.950,123,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:00.473,124,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:00.995,125,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:01.516,126,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:02.039,127,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:02.561,128,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:03.084,129,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:03.606,130,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:04.128,131,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:04.650,132,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:05.173,133,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:05.695,134,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:06.217,135,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:06.739,136,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:07.260,137,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:07.783,138,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:08.306,139,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:08.828,140,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:09.349,141,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:09.872,142,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:10.394,143,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:10.917,144,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:11.439,145,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:11.961,146,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:12.483,147,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:13.006,148,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:13.528,149,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:14.050,150,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:14.572,151,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:15.093,152,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:15.616,153,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:16.139,154,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:16.661,155,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:17.183,156,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:17.705,157,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:18.228,158,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:18.751,159,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:19.272,160,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:19.794,161,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:20.316,162,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:20.839,163,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:21.361,164,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:21.883,165,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:22.405,166,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:22.927,167,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:23.450,168,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:23.972,169,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:24.495,170,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:25.017,171,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:25.538,172,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:26.061,173,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:26.584,174,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:27.106,175,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:27.628,176,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:28.150,177,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:28.672,178,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:29.194,179,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:29.716,180,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:30.238,181,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:30.760,182,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:31.283,183,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:31.805,184,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:32.328,185,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:32.849,186,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:33.371,187,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:33.894,188,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:34.417,189,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:34.939,190,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:35.461,191,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:35.983,192,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:36.506,193,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:37.027,194,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:37.550,195,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:38.071,196,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:38.593,197,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:39.117,198,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:39.639,199,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:40.161,200,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:40.683,201,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:41.204,202,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:41.728,203,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:42.250,204,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:42.772,205,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:43.294,206,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:43.816,207,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:44.339,208,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:44.861,209,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:45.383,210,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:45.904,211,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:46.426,212,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:46.949,213,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:47.472,214,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:47.994,215,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:48.516,216,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:49.037,217,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:49.561,218,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:50.083,219,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:50.605,220,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:51.127,221,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:51.649,222,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:52.172,223,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:52.694,224,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:53.215,225,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:53.738,226,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:54.259,227,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:54.782,228,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:55.305,229,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:55.827,230,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:56.349,231,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:56.871,232,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:57.394,233,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:57.916,234,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:58.438,235,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:58.961,236,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:54:59.482,237,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:55:00.005,238,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:55:00.528,239,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:55:01.049,240,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:55:01.571,241,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:55:02.093,242,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:55:02.616,243,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:55:03.139,244,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:55:03.661,245,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:55:04.182,246,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:55:04.704,247,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:55:05.227,248,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:55:05.750,249,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:55:06.272,250,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:55:06.794,251,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:55:07.315,252,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:55:07.839,253,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:55:08.360,254,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:55:08.881,255,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:55:09.404,256,0.000,0.00,0.000,0.00,22.10,71.80,0.00,32.00
2026-08-29 05:55:09.926,257,0.000,0.00,0.000,0.00,22.10,71.80,0.00,32.00
2026-08-29 05:55:10.448,258,0.000,0.00,0.000,0.00,22.10,71.80,0.00,32.00
2026-08-29 05:55:10.972,259,0.000,0.00,0.000,0.00,22.10,71.80,0.00,32.00
2026-08-29 05:55:11.493,260,0.000,0.00,0.000,0.00,22.10,71.80,0.00,32.00
2026-08-29 05:55:12.015,261,0.000,0.00,0.000,0.00,22.10,71.80,0.00,32.00
2026-08-29 05:55:12.537,262,0.000,0.00,0.000,0.00,22.10,71.80,0.00,32.00
2026-08-29 05:55:13.060,263,0.000,0.00,0.000,0.00,22.10,71.80,0.00,32.00
2026-08-29 05:55:13.583,264,0.000,0.00,0.000,0.00,22.10,71.80,0.00,32.00
2026-08-29 05:55:14.105,265,0.000,0.00,0.000,0.00,22.10,71.80,0.00,32.00
2026-08-29 05:55:14.628,266,0.000,0.00,0.000,0.00,22.10,71.80,0.00,32.00
2026-08-29 05:55:15.149,267,0.000,0.00,0.000,0.00,22.10,71.80,0.00,32.00
2026-08-29 05:55:15.672,268,0.000,0.00,0.000,0.00,22.10,71.80,0.00,32.00
2026-08-29 05:55:16.194,269,0.000,0.00,0.000,0.00,22.10,71.80,0.00,32.00
2026-08-29 05:55:16.715,270,0.000,0.00,0.000,0.00,22.10,71.80,0.00,32.00
2026-08-29 05:55:17.237,271,0.000,0.00,0.000,0.00,22.10,71.80,0.00,32.00
2026-08-29 05:55:17.760,272,0.000,0.00,0.000,0.00,22.10,71.80,0.00,32.00
2026-08-29 05:55:18.282,273,0.000,0.00,0.000,0.00,22.10,71.80,0.00,32.00
2026-08-29 05:55:18.805,274,0.000,0.00,0.000,0.00,22.10,71.80,0.00,32.00
2026-08-29 05:55:19.327,275,0.000,0.00,0.000,0.00,22.10,71.80,0.00,32.00
2026-08-29 05:55:19.849,276,0.000,0.00,0.000,0.00,22.10,71.80,0.00,32.00
2026-08-29 05:55:20.370,277,0.000,0.00,0.000,0.00,22.10,71.80,0.00,32.00
2026-08-29 05:55:20.894,278,0.000,0.00,0.000,0.00,22.10,71.80,0.00,32.00
2026-08-29 05:55:21.416,279,0.000,0.00,0.000,0.00,22.10,71.80,0.00,32.00
2026-08-29 05:55:21.938,280,0.000,0.00,0.000,0.00,22.10,71.80,0.00,32.00
