Timestamp,Sample_Index,LoadCell1_Berat_kg,LoadCell1_Gaya_N,LoadCell2_Berat_kg,LoadCell2_Gaya_N,Termokopel1_Suhu_C,Termokopel1_Fahrenheit_F,Termokopel2_Suhu_C,Termokopel2_Fahrenheit_F
2026-08-29 05:52:55.489,1,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:52:55.492,2,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:52:55.722,3,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:52:58.326,4,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:52:58.335,5,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:52:58.854,6,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:52:59.377,7,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:52:59.900,8,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:00.421,9,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:00.942,10,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:01.465,11,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:01.987,12,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:02.511,13,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:03.032,14,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:03.554,15,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:04.075,16,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:04.598,17,0.000,0.00,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:05.121,18,0.460,4.50,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:05.642,19,1.900,18.70,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:06.164,20,3.270,32.10,0.000,0.00,22.30,72.10,0.00,32.00
2026-08-29 05:53:06.686,21,4.240,41.60,0.000,0.00,22.30,72.10,0.00,32.00
